date;account;other_account;name;balance_after_transaction;transaction_value
2020-05-09;NL87INGB9688157082;NL32ABNA4438120233;Snackbar Pieters;59.61;-1.67
2020-05-10;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;62.61;3.0
2020-05-15;NL87INGB9688157082;NL20RABO7577249270;DIRK VDBROEK FIL3489;61.7;-0.91
2020-05-17;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;64.7;3.0
2020-05-18;NL87INGB9688157082;NL20RABO7577249270;DIRK VDBROEK FIL3489;62.370000000000005;-2.33
2020-05-24;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;65.37;3.0
2020-05-26;NL87INGB9688157082;NL36INGB9481673421;AH 1208 Utrecht;64.65;-0.72
2020-05-31;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;67.65;3.0
2020-06-01;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;68.65;1.0
2020-06-07;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;71.65;3.0
2020-06-14;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;74.65;3.0
2020-06-18;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;78.65;4.0
2020-06-21;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;81.65;3.0
2020-06-21;NL87INGB9688157082;NL18INGB8743112544;Jos Stammen;91.65;10.0
2020-06-21;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;111.65;20.0
2020-06-28;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;114.65;3.0
2020-06-29;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;118.65;4.0
2020-07-01;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;122.65;4.0
2020-07-05;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;125.65;3.0
2020-07-09;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;128.65;3.0
2020-07-11;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;130.65;2.0
2020-07-12;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;133.65;3.0
2020-07-19;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;136.65;3.0
2020-07-23;NL87INGB9688157082;NL67ABNA1965265332;Jamin;133.16;-3.49
2020-07-26;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;136.16;3.0
2020-08-02;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;139.16;3.0
2020-08-05;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;143.16;4.0
2020-08-09;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;146.16;3.0
2020-08-09;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;150.16;4.0
2020-08-11;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;151.16;1.0
2020-08-14;NL87INGB9688157082;NL60RABO7711638558;Jumbo Leidsche Rijn;148.45;-2.71
2020-08-16;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;151.45;3.0
2020-08-20;NL87INGB9688157082;NL60RABO7711638558;Jumbo Leidsche Rijn;148.58999999999997;-2.86
2020-08-23;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;151.58999999999997;3.0
2020-08-30;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;154.58999999999997;3.0
2020-09-06;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;159.58999999999997;5.0
2020-09-06;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;162.58999999999997;3.0
2020-09-09;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;164.58999999999997;2.0
2020-09-10;NL87INGB9688157082;NL98ABNA5831335380;Zara;157.49999999999997;-7.09
2020-09-11;NL87INGB9688157082;NL17RABO4115845937;Bakkerij t Stoepje;153.55999999999997;-3.94
2020-09-13;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;156.55999999999997;3.0
2020-09-13;NL87INGB9688157082;NL60RABO7711638558;Jumbo Leidsche Rijn;155.94999999999996;-0.61
2020-09-14;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;158.94999999999996;3.0
2020-09-20;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;161.94999999999996;3.0
2020-09-20;NL87INGB9688157082;NL80RABO3777087823;Game Mania;130.58999999999997;-31.36
2020-09-27;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;133.58999999999997;3.0
2020-09-27;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;148.58999999999997;15.0
2020-09-28;NL87INGB9688157082;NL20RABO7577249270;DIRK VDBROEK FIL3489;147.86999999999998;-0.72
2020-10-03;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;150.86999999999998;3.0
2020-10-04;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;153.86999999999998;3.0
2020-10-10;NL87INGB9688157082;NL36INGB9481673421;AH 1208 Utrecht;151.74999999999997;-2.12
2020-10-11;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;154.74999999999997;3.0
2020-10-16;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;156.74999999999997;2.0
2020-10-18;NL87INGB9688157082;NL60RABO7711638558;Jumbo Leidsche Rijn;154.27999999999997;-2.47
2020-10-18;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;157.27999999999997;3.0
2020-10-18;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;160.27999999999997;3.0
2020-10-25;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;163.27999999999997;3.0
2020-11-01;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;166.27999999999997;3.0
2020-11-04;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;169.27999999999997;3.0
2020-11-08;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;172.27999999999997;3.0
2020-11-14;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;176.27999999999997;4.0
2020-11-15;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;179.27999999999997;3.0
2020-11-16;NL87INGB9688157082;NL17RABO4115845937;Bakkerij t Stoepje;176.36999999999998;-2.91
2020-11-21;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;177.36999999999998;1.0
2020-11-22;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;180.36999999999998;3.0
2020-11-29;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;183.36999999999998;3.0
2020-12-06;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;186.36999999999998;3.0
2020-12-07;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;190.36999999999998;4.0
2020-12-13;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;193.36999999999998;3.0
2020-12-19;NL87INGB9688157082;NL32ABNA4438120233;Snackbar Pieters;191.67;-1.7
2020-12-20;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;194.67;3.0
2020-12-26;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;197.67;3.0
2020-12-26;NL87INGB9688157082;NL60RABO7711638558;Jumbo Leidsche Rijn;196.70999999999998;-0.96
2020-12-27;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;199.70999999999998;3.0
2020-12-29;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;202.70999999999998;3.0
2020-12-29;NL87INGB9688157082;NL32ABNA4438120233;Snackbar Pieters;198.89;-3.82
2021-01-03;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;201.89;3.0
2021-01-10;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;204.89;3.0
2021-01-16;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;207.89;3.0
2021-01-17;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;210.89;3.0
2021-01-24;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;213.89;3.0
2021-01-29;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;216.89;3.0
2021-01-31;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;219.89;3.0
2021-02-01;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;223.89;4.0
2021-02-05;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;224.89;1.0
2021-02-07;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;227.89;3.0
2021-02-13;NL87INGB9688157082;NL32ABNA4438120233;Snackbar Pieters;226.76;-1.13
2021-02-14;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;228.76;2.0
2021-02-14;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;231.76;3.0
2021-02-14;NL87INGB9688157082;NL20RABO7577249270;DIRK VDBROEK FIL3489;230.01999999999998;-1.74
2021-02-21;NL87INGB9688157082;NL33INGB8694892022;Annemarie Meuse;233.01999999999998;3.0
