date;account;other_account;name;balance_after_transaction;transaction_value
2020-05-06;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;52.18;-1.38
2020-05-07;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;50.97;-1.21
2020-05-21;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;49.81;-1.16
2020-05-23;NL18INGB8743112544;NL60RABO7711638558;Remco Kooy;64.81;15.0
2020-05-23;NL18INGB8743112544;NL24INGB5924436675;Mariska Vandersloot;94.81;30.0
2020-05-23;NL18INGB8743112544;NL17RABO4115845937;Johannes Rosenkranz;134.81;40.0
2020-05-23;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;169.81;35.0
2020-05-23;NL18INGB8743112544;NL98INGB1415694826;Tineke Vliet;204.81;35.0
2020-05-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;216.81;12.0
2020-05-31;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;214.11;-2.7
2020-06-02;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;211.63000000000002;-2.48
2020-06-06;NL18INGB8743112544;NL66RABO3526558027;Ilse Sant;226.63000000000002;15.0
2020-06-06;NL18INGB8743112544;NL38INGB3675462129;Quirijn Stam;236.63000000000002;10.0
2020-06-06;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;256.63;20.0
2020-06-13;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;255.38;-1.25
2020-06-17;NL18INGB8743112544;NL98ABNA5831335380;Jamin;252.29999999999998;-3.08
2020-06-21;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;248.95;-3.35
2020-06-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;260.95;12.0
2020-06-27;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;258.02;-2.93
2020-07-02;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;254.99999999999997;-3.02
2020-07-09;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;252.99999999999997;-2.0
2020-07-11;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;250.54999999999998;-2.45
2020-07-13;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;249.79999999999998;-0.75
2020-07-18;NL18INGB8743112544;NL33INGB8694892022;de Bijenkorf;215.44;-34.36
2020-07-19;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;211.55;-3.89
2020-07-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;223.55;12.0
2020-08-12;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;221.20000000000002;-2.35
2020-08-22;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;218.32000000000002;-2.88
2020-08-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;230.32000000000002;12.0
2020-08-26;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;227.79000000000002;-2.53
2020-08-26;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;225.3;-2.49
2020-08-31;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;222.35000000000002;-2.95
2020-09-08;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;220.8;-1.55
2020-09-15;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;220.08;-0.72
2020-09-15;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;217.58;-2.5
2020-09-17;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;216.88000000000002;-0.7
2020-09-20;NL18INGB8743112544;NL98ABNA5831335380;Jamin;215.65000000000003;-1.23
2020-09-25;NL18INGB8743112544;NL68ABNA9548056305;ETOS 3297;210.13000000000002;-5.52
2020-09-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;222.13000000000002;12.0
2020-09-29;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;221.55;-0.58
2020-09-30;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;219.75;-1.8
2020-10-03;NL18INGB8743112544;NL33INGB8694892022;de Bijenkorf;187.07;-32.68
2020-10-04;NL18INGB8743112544;NL95INGB4636681924;The Sting089;167.81;-19.26
2020-10-12;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;167.23;-0.58
2020-10-17;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;165.89;-1.34
2020-10-19;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;163.04;-2.85
2020-10-20;NL18INGB8743112544;NL92ABNA6770096250;H&M;157.42;-5.62
2020-10-22;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;155.45999999999998;-1.96
2020-10-23;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;153.76999999999998;-1.69
2020-10-24;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;151.96999999999997;-1.8
2020-10-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;163.96999999999997;12.0
2020-10-26;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;161.94999999999996;-2.02
2020-11-07;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;159.61999999999995;-2.33
2020-11-09;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;156.90999999999994;-2.71
2020-11-18;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;154.42999999999995;-2.48
2020-11-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;166.42999999999995;12.0
2020-12-01;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;164.53999999999996;-1.89
2020-12-01;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;161.96999999999997;-2.57
2020-12-05;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;158.93999999999997;-3.03
2020-12-09;NL18INGB8743112544;NL18INGB9657789273;Intratuin Utrecht;150.44999999999996;-8.49
2020-12-13;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;148.23999999999995;-2.21
2020-12-17;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;146.08999999999995;-2.15
2020-12-17;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;145.42999999999995;-0.66
2020-12-20;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;143.10999999999996;-2.32
2020-12-25;NL18INGB8743112544;NL68ABNA9548056305;ETOS 3297;132.35999999999996;-10.75
2020-12-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;144.35999999999996;12.0
2021-01-02;NL18INGB8743112544;NL98ABNA5831335380;Jamin;142.03999999999996;-2.32
2021-01-05;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;140.26999999999995;-1.77
2021-01-20;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;137.31999999999996;-2.95
2021-01-25;NL18INGB8743112544;NL80RABO3777087823;Zara;126.79999999999997;-10.52
2021-01-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;138.79999999999995;12.0
2021-02-15;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;137.63999999999996;-1.16
2021-02-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;149.63999999999996;12.0
2021-03-15;NL18INGB8743112544;NL95INGB4636681924;The Sting089;133.80999999999995;-15.83
2021-03-15;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;131.75999999999993;-2.05
2021-03-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;143.75999999999993;12.0
2021-03-29;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;140.65999999999994;-3.1
2021-04-04;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;139.32999999999993;-1.33
2021-04-05;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;138.32999999999993;-1.0
2021-04-08;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;136.7199999999999;-1.61
2021-04-09;NL18INGB8743112544;NL18INGB9657789273;Intratuin Utrecht;125.23999999999991;-11.48
2021-04-11;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;123.93999999999991;-1.3
2021-04-15;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;120.58999999999992;-3.35
2021-04-23;NL18INGB8743112544;NL33INGB8694892022;de Bijenkorf;95.28999999999992;-25.3
2021-04-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;107.28999999999992;12.0
2021-04-27;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;122.28999999999992;15.0
2021-05-11;NL18INGB8743112544;NL32ABNA4438120233;Mediamarkt;108.28999999999992;-14.0
2021-05-11;NL18INGB8743112544;NL98ABNA5831335380;Jamin;106.68999999999993;-1.6
2021-05-17;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;104.92999999999992;-1.76
2021-05-22;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;103.00999999999992;-1.92
2021-05-23;NL18INGB8743112544;NL08RABO7568468658;Wilco Wassenaar;138.00999999999993;35.0
2021-05-23;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;173.00999999999993;35.0
2021-05-24;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;172.24999999999994;-0.76
2021-05-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;184.24999999999994;12.0
2021-05-30;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;181.74999999999994;-2.5
2021-05-31;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;179.73999999999995;-2.01
2021-06-06;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;194.73999999999995;15.0
2021-06-06;NL18INGB8743112544;NL85INGB4031638493;Maurits Busker;204.73999999999995;10.0
2021-06-15;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;202.52999999999994;-2.21
2021-06-20;NL18INGB8743112544;NL68ABNA9548056305;ETOS 3297;198.05999999999995;-4.47
2021-06-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;210.05999999999995;12.0
2021-07-03;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;208.49999999999994;-1.56
2021-07-05;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;207.27999999999994;-1.22
2021-07-10;NL18INGB8743112544;NL98ABNA5831335380;Jamin;205.12999999999994;-2.15
2021-07-11;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;203.54999999999993;-1.58
2021-07-11;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;202.47999999999993;-1.07
2021-07-13;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;200.68999999999994;-1.79
2021-07-21;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;198.41999999999993;-2.27
2021-07-25;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;196.00999999999993;-2.41
2021-07-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;208.00999999999993;12.0
2021-07-31;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;204.77999999999994;-3.23
2021-08-03;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;203.14999999999995;-1.63
2021-08-09;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;199.37999999999994;-3.77
2021-08-14;NL18INGB8743112544;NL98ABNA5831335380;Jamin;195.81999999999994;-3.56
2021-08-22;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;193.64999999999995;-2.17
2021-08-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;205.64999999999995;12.0
2021-08-28;NL18INGB8743112544;NL18INGB9657789273;Intratuin Utrecht;197.26999999999995;-8.38
2021-09-11;NL18INGB8743112544;NL07ABNA8849764685;Game Mania;177.99999999999994;-19.27
2021-09-12;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;176.86999999999995;-1.13
2021-09-13;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;173.95999999999995;-2.91
2021-09-13;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;171.67999999999995;-2.28
2021-09-15;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;169.75999999999996;-1.92
2021-09-15;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;169.24999999999997;-0.51
2021-09-16;NL18INGB8743112544;NL36INGB9481673421;Intertoys;159.94999999999996;-9.3
2021-09-20;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;158.30999999999997;-1.64
2021-09-20;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;156.62999999999997;-1.68
2021-09-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;168.62999999999997;12.0
2021-09-28;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;165.75999999999996;-2.87
2021-10-14;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;162.86999999999998;-2.89
2021-10-15;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;162.28999999999996;-0.58
2021-10-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;174.28999999999996;12.0
2021-10-27;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;172.84999999999997;-1.44
2021-10-28;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;171.21999999999997;-1.63
2021-10-31;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;169.58999999999997;-1.63
2021-11-20;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;166.60999999999999;-2.98
2021-11-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;178.60999999999999;12.0
2021-11-27;NL18INGB8743112544;NL98ABNA5831335380;Jamin;176.2;-2.41
2021-12-16;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;174.08999999999997;-2.11
2021-12-18;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;171.82999999999998;-2.26
2021-12-25;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;170.57999999999998;-1.25
2021-12-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;182.57999999999998;12.0
2022-01-03;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;180.23;-2.35
2022-01-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;192.23;12.0
2022-01-25;NL18INGB8743112544;NL80RABO3777087823;Zara;168.07;-24.16
2022-01-31;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;165.91;-2.16
2022-02-04;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;165.02;-0.89
2022-02-05;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;163.15;-1.87
2022-02-08;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;160.84;-2.31
2022-02-09;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;159.3;-1.54
2022-02-14;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;158.39000000000001;-0.91
2022-02-24;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;157.67000000000002;-0.72
2022-02-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;169.67000000000002;12.0
2022-03-01;NL18INGB8743112544;NL13ABNA4388522244;Snackbar Pieters;166.61;-3.06
2022-03-04;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;164.04000000000002;-2.57
2022-03-06;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;161.22000000000003;-2.82
2022-03-06;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;158.78000000000003;-2.44
2022-03-14;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;157.85000000000002;-0.93
2022-03-15;NL18INGB8743112544;NL87INGB9688157082;Jumbo Leidsche Rijn;155.96000000000004;-1.89
2022-03-23;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;154.91000000000003;-1.05
2022-03-23;NL18INGB8743112544;NL84ABNA1158470533;AH 1208 Utrecht;152.23000000000002;-2.68
2022-03-25;NL18INGB8743112544;NL67ABNA1070230618;Anne Van Slyke;164.23000000000002;12.0
2022-04-08;NL18INGB8743112544;NL80RABO3777087823;Zara;143.49;-20.74
2022-04-17;NL18INGB8743112544;NL07ABNA8849764685;Game Mania;130.06;-13.43
2022-04-18;NL18INGB8743112544;NL20RABO7577249270;Bakkerij t Stoepje;128.2;-1.86
2022-04-19;NL18INGB8743112544;NL67ABNA1965265332;DIRK VDBROEK FIL3489;127.58999999999999;-0.61
