date;account;other_account;name;balance_after_transaction;transaction_value
2020-05-07;NL18INGB8743112544;NL85INGB4031638493;Bakkerij t Stoepje;64.16000000000001;-2.82
2020-05-09;NL18INGB8743112544;NL57RABO4787393871;Snackbar Pieters;62.35000000000001;-1.81
2020-05-10;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;66.35000000000001;4.0
2020-05-17;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;70.35000000000001;4.0
2020-05-19;NL18INGB8743112544;NL57RABO4787393871;Snackbar Pieters;68.38000000000001;-1.97
2020-05-23;NL18INGB8743112544;NL07ABNA8849764685;Jumbo Leidsche Rijn;66.96000000000001;-1.42
2020-05-24;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;70.96000000000001;4.0
2020-05-31;NL18INGB8743112544;NL85INGB4031638493;Bakkerij t Stoepje;67.68;-3.28
2020-05-31;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;71.68;4.0
2020-06-07;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;75.68;4.0
2020-06-09;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;80.68;5.0
2020-06-13;NL18INGB8743112544;NL67ABNA1070230618;Jamin;79.66000000000001;-1.02
2020-06-14;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;83.66000000000001;4.0
2020-06-18;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;108.66000000000001;25.0
2020-06-18;NL18INGB8743112544;NL85INGB4031638493;Bakkerij t Stoepje;106.21000000000001;-2.45
2020-06-21;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;110.21000000000001;4.0
2020-06-22;NL18INGB8743112544;NL07ABNA8849764685;Jumbo Leidsche Rijn;109.53;-0.68
2020-06-23;NL18INGB8743112544;NL98ABNA5831335380;Intratuin Utrecht;98.44;-11.09
2020-06-28;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;102.44;4.0
2020-06-30;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;106.44;4.0
2020-07-05;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;110.44;4.0
2020-07-10;NL18INGB8743112544;NL03ABNA5732787127;Intertoys;99.85;-10.59
2020-07-12;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;103.85;4.0
2020-07-14;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;104.85;1.0
2020-07-17;NL18INGB8743112544;NL95INGB4636681924;AH 1208 Utrecht;103.67999999999999;-1.17
2020-07-19;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;107.67999999999999;4.0
2020-07-23;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;111.67999999999999;4.0
2020-07-26;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;115.67999999999999;4.0
2020-08-02;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;119.67999999999999;4.0
2020-08-03;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;122.67999999999999;3.0
2020-08-09;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;126.67999999999999;4.0
2020-08-10;NL18INGB8743112544;NL67ABNA1070230618;Jamin;124.74999999999999;-1.93
2020-08-16;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;128.75;4.0
2020-08-17;NL18INGB8743112544;NL50INGB7082086296;Anne Van Slyke;130.75;2.0
2020-08-21;NL18INGB8743112544;NL32ABNA4438120233;DIRK VDBROEK FIL3489;128.59;-2.16
2020-08-22;NL18INGB8743112544;NL95INGB4636681924;AH 1208 Utrecht;127.83;-0.76
2020-08-22;NL18INGB8743112544;NL32ABNA4438120233;DIRK VDBROEK FIL3489;125.21;-2.62
